#          L         MA(L)       MB(L)
           0        32.366       114.95
          0.3       413.25       168.16
          0.6        738.4       404.64
          0.9       1086.2       387.42
          1.2       1282.6       517.12
          1.5       1616.1       641.93
          1.8       1767.4       714.92
          2.1       1992.3       806.48
          2.4       2206.6       986.88
          2.7       2358.7       990.32
            3       2446.6       1135.6
          3.3       2644.2       1182.5
          3.6       2700.5       1292.1
          3.9       2904.8       1448.2
          4.2       2997.6       1405.1
          4.5         3045       1442.1
          4.8       3145.5       1664.1
          5.1       3253.6       1693.9
          5.4       3222.3       1731.4
          5.7         3355       1795.4
            6       3418.3       1785.7
          6.3       3462.6       1993.7
          6.6       3439.3         1943
          6.9       3507.2       2041.6
          7.2       3496.1       2054.9
          7.5       3565.1       2040.4
          7.8       3573.2       2178.8
          8.1       3636.8       2219.2
          8.4       3675.4       2220.1
          8.7         3723       2229.5
            9       3700.2       2404.6
          9.3       3731.4       2311.6
          9.6       3793.2       2395.1
          9.9         3805       2510.6
         10.2       3777.7         2578
         10.5       3830.9       2547.8
         10.8       3744.1       2613.1
         11.1       3841.3       2636.7
         11.4       3795.7       2654.6
         11.7       3791.7       2686.6
           12       3867.5       2761.1
         12.3       3819.6         2721
         12.6       3804.6       2724.6
         12.9       3794.2       2795.7
         13.2       3906.1       2781.8
         13.5       3878.8       2753.9
         13.8       3903.7         2828
         14.1       3916.4       2868.2
         14.4       3889.9       2863.8
         14.7       3920.3       2884.7
           15       3846.8       2963.5
         15.3       3921.8       2944.1
         15.6         3928       2956.9
         15.9       3858.5       2907.2
         16.2       3834.2       2951.2
         16.5       3915.9       3000.5
         16.8       3838.7       3048.1
         17.1       3914.3       3075.2
         17.4       3883.1       3137.2
         17.7       3907.7       3141.1
           18       3853.1       3013.8
         18.3       3895.8       3171.1
         18.6       3908.4       3051.2
         18.9       3837.7       3198.6
         19.2       3890.9       3147.6
         19.5       3939.5         3099
         19.8         3851       3081.3
         20.1       3889.4       3130.2
         20.4       3914.9       3226.2
         20.7       3873.2       3112.4
           21       3949.2       3168.2
         21.3         3920       3139.9
         21.6       3864.1       3152.9
         21.9       3904.5       3145.1
         22.2       3942.1       3260.2
         22.5       3905.3       3164.8
         22.8       3927.9       3261.1
         23.1       3944.5         3194
         23.4       3938.6       3280.9
         23.7       3856.8       3261.9
           24       3863.6       3232.4
         24.3       3859.6       3330.1
         24.6       3845.4       3333.9
         24.9       3843.2       3359.7
         25.2         3911         3208
         25.5       3912.5       3320.6
         25.8       3948.3       3219.6
         26.1         3927       3241.1
         26.4       3877.2       3245.9
         26.7       3899.7       3294.1
           27       3872.4       3277.1
         27.3       3927.2       3299.1
         27.6       3856.2         3287
         27.9       3928.8         3314
         28.2       3936.1       3323.4
         28.5       3928.7       3363.8
         28.8       3881.7         3392
         29.1       3910.2       3308.6
         29.4         3897       3408.1
         29.7         3853       3393.9
           30       3938.5       3411.2
